id,data,cliente,produto,categoria,regiao,quantidade,preco,receita_total,mes,trimestre,ano,faixa_receita_item
1,2024-02-27,Cliente_001,Mouse,Periféricos,Nordeste,4.0,120.0,480.0,2,Q1,2024,Baixo Valor
2,2024-03-12,Cliente_024,Smartphone,Celulares,Sul,9.0,2200.0,19800.0,3,Q1,2024,Alto Valor
3,2024-10-29,Cliente_014,Notebook,Computadores,Sul,1.0,3500.0,3500.0,10,Q4,2024,Médio Valor
5,2024-10-14,Cliente_007,Notebook,Computadores,Norte,7.0,3500.0,24500.0,10,Q4,2024,Alto Valor
6,2024-08-17,Cliente_019,Smartphone,Celulares,Nordeste,1.0,2200.0,2200.0,8,Q3,2024,Médio Valor
8,2024-04-20,Cliente_025,Smartphone,Celulares,Nordeste,2.0,2200.0,4400.0,4,Q2,2024,Médio Valor
9,2024-07-13,Cliente_004,Notebook,Computadores,Nordeste,6.0,3500.0,21000.0,7,Q3,2024,Alto Valor
10,2024-05-15,Cliente_026,Teclado,Periféricos,Sul,8.0,250.0,2000.0,5,Q2,2024,Médio Valor
11,2024-03-04,Cliente_030,Teclado,Periféricos,Centro-Oeste,2.0,250.0,500.0,3,Q1,2024,Médio Valor
12,2024-05-30,Cliente_027,Teclado,Periféricos,Norte,6.0,250.0,1500.0,5,Q2,2024,Médio Valor
13,2024-04-08,Cliente_023,Teclado,Periféricos,Sul,1.0,250.0,250.0,4,Q2,2024,Baixo Valor
14,2024-04-26,Cliente_025,Mouse,Periféricos,Nordeste,2.0,120.0,240.0,4,Q2,2024,Baixo Valor
15,2024-02-21,Cliente_013,Smartphone,Celulares,Nordeste,8.0,2200.0,17600.0,2,Q1,2024,Alto Valor
16,2024-07-05,Cliente_006,Mouse,Periféricos,Nordeste,6.0,120.0,720.0,7,Q3,2024,Médio Valor
17,2024-12-09,Cliente_009,Smartphone,Celulares,Sul,10.0,2200.0,22000.0,12,Q4,2024,Alto Valor
19,2024-07-13,Cliente_009,Monitor,Computadores,Norte,4.0,1200.0,4800.0,7,Q3,2024,Médio Valor
20,2024-06-15,Cliente_027,Mouse,Periféricos,Sul,4.0,120.0,480.0,6,Q2,2024,Baixo Valor
21,2024-06-10,Cliente_013,Notebook,Computadores,Nordeste,2.0,3500.0,7000.0,6,Q2,2024,Alto Valor
22,2024-10-17,Cliente_029,Smartphone,Celulares,Nordeste,4.0,2200.0,8800.0,10,Q4,2024,Alto Valor
23,2024-09-12,Cliente_013,Mouse,Periféricos,Centro-Oeste,3.0,120.0,360.0,9,Q3,2024,Baixo Valor
24,2024-03-12,Cliente_008,Tablet,Celulares,Norte,9.0,1800.0,16200.0,3,Q1,2024,Alto Valor
25,2024-10-26,Cliente_014,Tablet,Celulares,Norte,7.0,1800.0,12600.0,10,Q4,2024,Alto Valor
26,2024-04-22,Cliente_005,Tablet,Celulares,Norte,8.0,1800.0,14400.0,4,Q2,2024,Alto Valor
27,2024-01-25,Cliente_028,Notebook,Computadores,Sul,3.0,3500.0,10500.0,1,Q1,2024,Alto Valor
28,2024-03-22,Cliente_026,Mouse,Periféricos,Centro-Oeste,10.0,120.0,1200.0,3,Q1,2024,Médio Valor
29,2024-07-16,Cliente_013,Notebook,Computadores,Norte,8.0,3500.0,28000.0,7,Q3,2024,Alto Valor
30,2024-05-08,Cliente_018,Teclado,Periféricos,Sul,2.0,250.0,500.0,5,Q2,2024,Médio Valor
31,2024-10-01,Cliente_025,Mouse,Periféricos,Nordeste,6.0,120.0,720.0,10,Q4,2024,Médio Valor
32,2024-05-30,Cliente_014,Notebook,Computadores,Sudeste,8.0,3500.0,28000.0,5,Q2,2024,Alto Valor
36,2024-01-01,Cliente_020,Teclado,Periféricos,Nordeste,8.0,250.0,2000.0,1,Q1,2024,Médio Valor
37,2024-02-27,Cliente_030,Notebook,Computadores,Nordeste,5.0,3500.0,17500.0,2,Q1,2024,Alto Valor
38,2024-01-30,Cliente_008,Smartphone,Celulares,Norte,2.0,2200.0,4400.0,1,Q1,2024,Médio Valor
40,2024-03-06,Cliente_022,Smartphone,Celulares,Centro-Oeste,9.0,2200.0,19800.0,3,Q1,2024,Alto Valor
41,2024-05-15,Cliente_017,Smartphone,Celulares,Norte,7.0,2200.0,15400.0,5,Q2,2024,Alto Valor
42,2024-10-03,Cliente_025,Smartphone,Celulares,Sudeste,5.0,2200.0,11000.0,10,Q4,2024,Alto Valor
43,2024-12-09,Cliente_021,Monitor,Computadores,Nordeste,8.0,1200.0,9600.0,12,Q4,2024,Alto Valor
44,2024-08-19,Cliente_004,Teclado,Periféricos,Sudeste,4.0,250.0,1000.0,8,Q3,2024,Médio Valor
46,2024-10-28,Cliente_008,Smartphone,Celulares,Sul,2.0,2200.0,4400.0,10,Q4,2024,Médio Valor
